"date","gender","age","social_metric","time_since_signup","demographic","group","hours_watched"
"01/07","F",28,5,19.3,1,"A",4.08
"01/07","F",32,7,11.5,1,"A",2.99
"01/07","F",39,4,4.3,3,"A",5.74
"01/07","M",52,10,9.5,4,"A",4.13
"01/07","M",25,1,19.5,2,"A",4.68
"01/07","M",51,0,22.6,4,"A",3.4
"01/07","F",53,5,4.2,3,"A",3.07
"01/07","M",42,6,8.5,4,"A",2.77
"01/07","M",41,8,16.9,4,"A",2.24
"01/07","M",20,7,23,2,"A",5.39
"01/07","M",26,9,10.3,2,"A",5.17
"01/07","F",25,5,3.3,1,"A",4.08
"01/07","F",43,1,19.5,3,"A",3.92
"01/07","F",32,10,19.4,1,"A",4.9
"01/07","M",46,4,21.8,4,"A",4.38
"01/07","M",36,9,16.9,4,"A",6.13
"01/07","M",45,9,11,4,"A",3.51
"01/07","M",55,3,2,4,"A",1.75
"01/07","F",32,1,17.5,1,"A",4.45
"01/07","M",47,3,22.4,4,"A",4.79
"01/07","M",53,0,0.9,4,"A",0.79
"01/07","F",26,8,2.6,1,"A",4.54
"01/07","M",42,2,9.5,4,"A",2.97
"01/07","M",23,8,3.7,2,"A",5.92
"01/07","M",28,2,2.7,2,"A",7.05
"01/07","F",32,8,6.9,1,"A",4.55
"01/07","M",18,5,13.9,2,"A",5.07
"01/07","M",32,3,3.4,2,"A",2.81
"01/07","F",50,3,11.9,3,"A",2.06
"01/07","M",31,7,8.6,2,"A",5.75
"01/07","M",36,6,9.8,4,"A",3.79
"01/07","M",40,5,6.7,4,"A",3.65
"02/07","M",36,3,10.2,4,"A",3.88
"02/07","F",25,10,11.1,1,"A",5.58
"02/07","M",49,6,19.9,4,"A",5.11
"02/07","M",43,2,8.6,4,"A",4.85
"02/07","M",47,4,10.5,4,"A",5.48
"02/07","F",22,5,0.2,1,"A",3.44
"02/07","F",45,9,23.2,3,"A",3.67
"02/07","M",33,2,8.1,2,"A",5.39
"02/07","M",48,2,0.7,4,"A",2.88
"02/07","M",42,2,8.6,4,"A",4
"02/07","F",47,6,15.4,3,"A",3.02
"02/07","M",38,5,6.9,4,"A",2.42
"02/07","F",38,2,23.6,3,"A",2.78
"02/07","M",47,4,2,4,"A",5.36
"02/07","F",19,6,3.1,1,"A",5.29
"02/07","M",36,3,6.3,4,"A",6.02
"02/07","F",45,5,5.1,3,"A",4.6
"02/07","F",44,9,22.7,3,"A",4.92
"02/07","M",36,0,8.3,4,"A",5.56
"02/07","F",50,5,9.7,3,"A",1.71
"02/07","M",34,4,12.9,2,"A",3.87
"02/07","M",27,9,6.6,2,"A",5.11
"02/07","F",21,9,9.7,1,"A",4.83
"02/07","F",22,2,10.5,1,"A",4.74
"02/07","M",30,8,7.7,2,"A",3.06
"02/07","M",37,4,0.1,4,"A",2.85
"02/07","F",42,6,23.4,3,"A",4.69
"02/07","M",33,1,2.7,2,"A",4.49
"02/07","M",52,1,13.2,4,"A",4.02
"02/07","F",29,9,20.9,1,"A",4.97
"02/07","M",35,9,20.7,2,"A",4.52
"02/07","F",30,2,14.7,1,"A",4.12
"03/07","M",42,5,0,4,"A",3.02
"03/07","F",28,9,7.8,1,"A",5.61
"03/07","M",36,3,20.9,4,"A",3.06
"03/07","M",46,2,12.2,4,"A",3.85
"03/07","F",21,9,21.7,1,"A",5.57
"03/07","M",50,5,23.7,4,"A",4.07
"03/07","F",31,2,7.6,1,"A",5.72
"03/07","F",49,0,0.3,3,"A",2.47
"03/07","M",31,6,9.9,2,"A",4.45
"03/07","F",30,4,18.6,1,"A",4.69
"03/07","F",36,9,22.9,3,"A",4.18
"03/07","M",51,5,17.4,4,"A",4.81
